CP066974.1.versus.10008.fasta.blastn
CP066974.1	CP066974.1	100.000	38763	0	0	1	38763	1	38763	0.0	71582
CP066974.1	CP066974.1	100.000	120	0	0	29503	29622	23154	23273	1.83e-56	222
CP066974.1	CP066974.1	100.000	120	0	0	23154	23273	29503	29622	1.83e-56	222
CP066974.1	CP066974.1	96.739	92	2	1	30153	30244	23159	23249	2.43e-35	152
CP066974.1	CP066974.1	96.739	92	2	1	30153	30244	29508	29598	2.43e-35	152
CP066974.1	CP066974.1	96.739	92	2	1	23159	23249	30153	30244	2.43e-35	152
CP066974.1	CP066974.1	96.739	92	2	1	29508	29598	30153	30244	2.43e-35	152
CP066974.1	CP066973.1	85.574	1324	183	3	26294	27616	123149	124465	0.0	1380
CP066974.1	CP066973.1	94.611	167	9	0	34452	34618	117697	117863	1.39e-67	259

CP066974.1.versus.CFBP_1124.fasta.blastn
CP066974.1	CM002628.1	84.263	7892	1134	91	13733	21578	9099	1270	0.0	7594
CP066974.1	CM002628.1	91.343	5556	474	7	2640	8191	33543	27991	0.0	7589
CP066974.1	CM002628.1	91.282	3923	342	0	9401	13323	13860	9938	0.0	5350
CP066974.1	CM002628.1	86.694	2187	257	25	31562	33730	20985	18815	0.0	2396
CP066974.1	CM002628.1	88.699	1407	120	26	29191	30585	23735	22356	0.0	1681
CP066974.1	CM002628.1	81.033	1840	315	30	583	2405	35532	33710	0.0	1434
CP066974.1	CM002628.1	90.501	979	89	2	8217	9193	14909	13933	0.0	1290
CP066974.1	CM002628.1	85.505	683	97	2	38080	38761	36726	36045	0.0	712
CP066974.1	CM002628.1	87.910	579	68	2	26171	26748	25784	25207	0.0	680
CP066974.1	CM002628.1	88.145	523	46	13	34631	35142	17722	17205	1.15e-172	608
CP066974.1	CM002628.1	85.497	593	67	8	33871	34460	18699	18123	1.92e-170	601
CP066974.1	CM002628.1	87.629	485	56	2	35277	35759	38476	37994	3.26e-158	560
CP066974.1	CM002628.1	82.927	533	85	5	21790	22316	1199	667	1.21e-132	475
CP066974.1	CM002628.1	82.922	527	79	10	35719	36239	37890	37369	2.63e-129	464
CP066974.1	CM002628.1	74.800	750	171	15	4604	5344	32406	31666	1.67e-86	322
CP066974.1	CM002628.1	93.122	189	9	3	35090	35276	187	1	4.75e-72	274
CP066974.1	CM002628.1	99.160	119	1	0	23154	23272	23417	23299	2.92e-54	215
CP066974.1	CM002628.1	84.545	220	25	8	34926	35142	26608	26395	1.36e-52	209
CP066974.1	CM002628.1	94.444	126	7	0	23154	23279	22774	22649	3.81e-48	195
CP066974.1	CM002628.1	95.000	120	6	0	29502	29621	22775	22656	1.77e-46	189
CP066974.1	CM002628.1	96.739	92	2	1	30153	30244	23412	23322	2.32e-35	152
CP066974.1	CM002631.1	86.151	621	75	8	35135	35750	9	623	0.0	660

CP066974.1.versus.CFBP_1606R.fasta.blastn
CP066974.1	CM002635.1	88.256	579	66	2	26171	26748	2486304	2486881	0.0	691
CP066974.1	CM002635.1	94.615	130	6	1	34502	34630	2485994	2486123	8.13e-50	200

CP066974.1.versus.CFBP_1712.fasta.blastn
CP066974.1	CM002543.1	88.640	581	62	3	26179	26756	1574	995	0.0	704
CP066974.1	CM002541.1	83.966	580	59	8	26174	26751	4498909	4498362	1.19e-147	525

CP066974.1.versus.CFBP_1713.fasta.blastn
CP066974.1	CM002582.1	88.850	574	62	2	26179	26751	2196	2768	0.0	704
CP066974.1	CM002580.1	83.966	580	59	8	26174	26751	4536995	4536448	1.20e-147	525

CP066974.1.versus.CFBP_4955.fasta.blastn
CP066974.1	CM002552.1	85.650	1324	182	3	26294	27616	58084	56768	0.0	1386
CP066974.1	CM002552.1	85.491	958	133	6	24985	25940	59611	58658	0.0	994
CP066974.1	CM002551.1	91.972	847	44	14	29502	30348	4923069	4922247	0.0	1166
CP066974.1	CM002551.1	84.391	583	57	8	26171	26751	4926316	4925766	1.21e-152	542
CP066974.1	CM002551.1	83.273	550	77	9	26171	26714	4933035	4933575	1.24e-137	492
CP066974.1	CM002551.1	94.972	179	9	0	34452	34630	4930185	4930363	2.92e-74	281
CP066974.1	CM002551.1	98.319	119	2	0	23154	23272	4923068	4922950	1.40e-52	209
CP066974.1	CM002551.1	94.615	130	6	1	34502	34630	4932725	4932854	8.41e-50	200
CP066974.1	CM002551.1	94.488	127	7	0	23154	23280	4922428	4922302	1.09e-48	196
CP066974.1	CM002551.1	95.000	120	6	0	29502	29621	4922429	4922310	1.82e-46	189
CP066974.1	CM002551.1	94.444	108	6	0	34523	34630	4922140	4922247	8.53e-40	167
CP066974.1	CM002551.1	95.876	97	3	1	30153	30249	4923063	4922968	1.85e-36	156
CP066974.1	CM002551.1	86.364	132	17	1	34005	34136	4922050	4921920	1.44e-32	143

CP066974.1.versus.CFBP_5683.fasta.blastn
CP066974.1	CM002560.1	88.850	574	62	2	26179	26751	2150	2722	0.0	704
CP066974.1	CM002558.1	83.966	580	59	8	26174	26751	4511916	4511369	1.20e-147	525

CP066974.1.versus.CFBP_6865R.fasta.blastn
CP066974.1	CM002539.1	88.383	7592	828	48	628	8191	28839	21274	0.0	9084
CP066974.1	CM002539.1	85.584	8532	1114	89	13787	22271	11819	3357	0.0	8835
CP066974.1	CM002539.1	91.383	3725	316	5	9401	13122	16501	12779	0.0	5096
