All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50      N90      auN        L50  L90  # N's per 100 kbp
GCA_000007145.1_ASM714v1_genomic        1                    1                       1                       1                        1                        1                        5076188                 5076188                    5076188                    5076188                     5076188                     5076188                     1          5076188         5076188       65.07   5076188  5076188  5076188.0  1    1    0.32             
GCA_000589875.1_20120327_genomic        4                    4                       4                       4                        3                        2                        5166940                 5166940                    5166940                    5166940                     5143558                     5111712                     4          5050003         5166940       64.94   5050003  5050003  4936751.6  1    1    47.67            
GCA_000589895.1_20120412_genomic        5                    4                       2                       1                        1                        1                        5015961                 5015001                    5008398                    4998410                     4998410                     4998410                     5          4998410         5015961       65.13   4998410  4998410  4980944.9  1    1    255.31           
GCA_000589935.1_20120412_genomic        11                   8                       5                       4                        1                        1                        5073734                 5071313                    5059699                    5053102                     5008990                     5008990                     11         5008990         5073734       65.08   5008990  5008990  4945222.6  1    1    279.99           
GCA_000589955.1_20120413_genomic        8                    6                       2                       2                        2                        2                        5136167                 5134531                    5121136                    5121136                     5121136                     5121136                     8          4973409         5136167       64.99   4973409  4973409  4820067.7  1    1    270.84           
GCA_000589975.1_20120413_genomic        5                    3                       1                       1                        1                        1                        5056538                 5055213                    5052401                    5052401                     5052401                     5052401                     5          5052401         5056538       65.05   5052401  5052401  5048268.3  1    1    249.32           
GCA_000589995.1_20120413_genomic        5                    5                       2                       2                        1                        1                        5030566                 5030566                    5022751                    5022751                     5012730                     5012730                     5          5012730         5030566       65.12   5012730  5012730  4994982.0  1    1    364.09           
GCA_000590095.1_20121025_genomic        5                    5                       2                       2                        1                        1                        5041610                 5041610                    5033590                    5033590                     5023477                     5023477                     5          5023477         5041610       65.10   5023477  5023477  5005434.5  1    1    174.67           
GCA_000590115.1_20121028_genomic        6                    4                       1                       1                        1                        1                        5030897                 5029385                    5025391                    5025391                     5025391                     5025391                     6          5025391         5030897       65.09   5025391  5025391  5019892.4  1    1    141.25           
GCA_000590195.1_20121031_genomic        5                    5                       2                       2                        2                        1                        4958955                 4958955                    4950909                    4950909                     4950909                     4908835                     5          4908835         4958955       65.17   4908835  4908835  4859583.7  1    1    199.72           
GCA_000590275.1_20120412_genomic        8                    6                       2                       2                        2                        1                        4997962                 4996206                    4989088                    4989088                     4989088                     4950512                     8          4950512         4997962       65.14   4950512  4950512  4903813.3  1    1    200.28           
GCA_000590295.1_20120411_genomic        8                    6                       2                       1                        1                        1                        5060825                 5059540                    5052905                    5045960                     5045960                     5045960                     8          5045960         5060825       65.04   5045960  5045960  5031150.6  1    1    268.93           
GCA_000590315.1_20120327_genomic        1                    1                       1                       1                        1                        1                        4967288                 4967288                    4967288                    4967288                     4967288                     4967288                     1          4967288         4967288       65.17   4967288  4967288  4967288.0  1    1    19.21            
GCA_000590355.1_20120327_genomic        2                    1                       1                       1                        1                        1                        4912085                 4911500                    4911500                    4911500                     4911500                     4911500                     2          4911500         4912085       65.36   4911500  4911500  4910915.1  1    1    21.15            
GCA_020813075.1_ASM2081307v1_genomic    53                   53                      45                      43                       41                       27                       4898270                 4898270                    4877840                    4864337                     4832872                     4306303                     53         385197          4898270       65.30   196893   45949    186669.1   10   30   0.00             
GCA_028750355.1_ASM2875035v1_genomic    3                    3                       3                       3                        3                        2                        5233120                 5233120                    5233120                    5233120                     5233120                     5194357                     3          5033626         5233120       64.97   5033626  5033626  4846960.8  1    1    0.00             
GCA_028750375.1_ASM2875037v1_genomic    2                    2                       2                       2                        2                        2                        5150972                 5150972                    5150972                    5150972                     5150972                     5150972                     2          5095350         5150972       65.02   5095350  5095350  5040929.3  1    1    0.00             
GCA_030062435.1_ASM3006243v1_genomic    2                    2                       2                       2                        2                        1                        5170182                 5170182                    5170182                    5170182                     5170182                     5131420                     2          5131420         5170182       64.96   5131420  5131420  5093239.2  1    1    0.00             
GCA_030361545.2_ASM3036154v2_genomic    80                   68                      54                      48                       43                       34                       4855769                 4847494                    4813446                    4772570                     4694334                     4386349                     80         325203          4855769       65.26   161544   50985    155019.4   12   34   0.00             
GCA_030361585.2_ASM3036158v2_genomic    69                   62                      50                      43                       37                       35                       5043137                 5038111                    5011585                    4965896                     4873289                     4810113                     69         298690          5043137       65.05   162491   57277    163129.3   12   31   0.00             
GCA_030361605.2_ASM3036160v2_genomic    75                   62                      49                      44                       40                       33                       4857820                 4848569                    4815526                    4783609                     4727575                     4499012                     75         298661          4857820       65.26   174860   55056    165688.9   11   31   0.00             
GCA_030361625.2_ASM3036162v2_genomic    76                   69                      56                      48                       40                       36                       5039121                 5034332                    5005225                    4944595                     4824478                     4699267                     76         275768          5039121       65.05   149665   57277    149153.2   13   33   0.00             
GCA_030361645.2_ASM3036164v2_genomic    66                   59                      49                      42                       35                       31                       5045070                 5040043                    5019716                    4974028                     4865902                     4727250                     66         431289          5045070       65.05   176760   57277    205101.7   10   28   0.00             
GCA_030361665.2_ASM3036166v2_genomic    74                   63                      49                      42                       36                       33                       5052088                 5044488                    5016528                    4965007                     4880831                     4767729                     74         298636          5052088       65.04   162313   63009    165018.4   12   30   0.00             
GCA_030361675.2_ASM3036167v2_genomic    71                   63                      51                      45                       38                       34                       5047337                 5041635                    5013759                    4970639                     4861915                     4729738                     71         422684          5047337       65.04   162305   56941    179283.4   11   31   0.00             
GCA_030361705.2_ASM3036170v2_genomic    76                   64                      49                      43                       36                       33                       5020690                 5012178                    4979130                    4936009                     4832065                     4724387                     76         329299          5020690       65.02   178060   62647    172884.6   11   30   0.00             
GCA_030361725.2_ASM3036172v2_genomic    71                   63                      53                      46                       41                       35                       5041637                 5035935                    5014134                    4962626                     4892351                     4693992                     71         285017          5041637       65.05   149714   53728    159792.2   12   33   0.00             
GCA_030361745.2_ASM3036174v2_genomic    71                   64                      50                      44                       38                       36                       5050891                 5046102                    5014702                    4971582                     4877010                     4802546                     71         275780          5050891       65.04   155850   62972    152056.1   13   32   0.00             
GCA_030361765.2_ASM3036176v2_genomic    75                   65                      49                      42                       38                       34                       5050923                 5043708                    5009279                    4957587                     4900092                     4764917                     75         506247          5050923       65.03   155646   63006    181206.0   12   30   0.00             
GCA_030361785.2_ASM3036178v2_genomic    78                   68                      52                      45                       39                       36                       5050785                 5043699                    5009342                    4957717                     4882648                     4791014                     78         233016          5050785       65.04   147257   69208    145648.5   14   32   0.00             
GCA_030361805.2_ASM3036180v2_genomic    74                   64                      50                      42                       35                       34                       5051475                 5044261                    5016098                    4959419                     4855458                     4827242                     74         318037          5051475       65.04   162603   67063    170199.8   12   30   0.00             
GCA_030361825.2_ASM3036182v2_genomic    84                   74                      57                      50                       40                       36                       5047258                 5040176                    5004421                    4953180                     4796697                     4657911                     84         422742          5047258       65.04   147294   55054    159369.0   13   34   0.00             
